"Freq [GHz]","dB(S(1,1)) []"
0.1,-30.0355563423859
0.132222222222222,-27.643657072841
0.164444444444444,-25.7927235726931
0.196666666666667,-24.2908017093351
0.228888888888889,-23.0339118437468
0.261111111111111,-21.9592609278956
0.293333333333333,-21.0259307664057
0.325555555555556,-20.2057015546452
0.357777777777778,-19.4782310536684
0.39,-18.8283232880962
0.422222222222222,-18.2442870308443
0.454444444444444,-17.7169013782263
0.486666666666667,-17.2387380648557
0.518888888888889,-16.8037028747603
0.551111111111111,-16.4067167083882
0.583333333333333,-16.0434885355978
0.615555555555556,-15.7103504802027
0.647777777777778,-15.404135928695
0.68,-15.1220880605419
0.712222222222222,-14.8617902887053
0.744444444444444,-14.6211127388719
0.776666666666667,-14.3981706379401
0.808888888888889,-14.1912916548192
0.841111111111111,-13.9989900394662
0.873333333333333,-13.8199459641017
0.905555555555556,-13.6529888633971
0.937777777777778,-13.4970838501263
0.97,-13.3513204840112
1.00222222222222,-13.2145392186905
1.03444444444444,-13.080979621064
1.06666666666667,-12.9540095687342
1.09888888888889,-12.8323811027772
1.13111111111111,-12.7149133806471
1.16333333333333,-12.6004938523578
1.19555555555556,-12.4880794417031
1.22777777777778,-12.376697696943
1.26,-12.2654478912434
1.29222222222222,-12.1535020586428
1.32444444444444,-12.040105949443
1.35666666666667,-11.9245798824227
1.38888888888889,-11.8063194625875
1.42111111111111,-11.6847961243235
1.45333333333333,-11.5595574524336
1.48555555555556,-11.4302272287618
1.51777777777778,-11.2965051506748
1.55,-11.1581661698368
1.58222222222222,-11.0150594053845
1.61444444444444,-10.8671065943063
1.64666666666667,-10.7143000528477
1.67888888888889,-10.5567001352153
1.71111111111111,-10.3944321887846
1.74333333333333,-10.2276830175416
1.77555555555556,-10.056696876838
1.80777777777778,-9.88177103217015
1.84,-9.70325092232588
1.87222222222222,-9.52152497285373
1.90444444444444,-9.33701910966057
1.93666666666667,-9.15019102506303
1.96888888888889,-8.96152425039948
2.00111111111111,-8.77152209096431
2.03333333333333,-8.58070148113054
2.06555555555556,-8.38958682051238
2.09777777777778,-8.19870385610985
2.13,-8.00857368053835
2.16222222222222,-7.81970692236109
2.19444444444444,-7.63259821063212
2.22666666666667,-7.44772100122205
2.25888888888889,-7.26552285639927
2.29111111111111,-7.08642127050147
2.32333333333333,-6.91080013246287
2.35555555555556,-6.73900690977171
2.38777777777778,-6.57135062773483
2.42,-6.40810070271819
2.45222222222222,-6.24948666872288
2.48444444444444,-6.09569881404966
2.51666666666667,-5.94688972003163
2.54888888888889,-5.80317666822085
2.58111111111111,-5.66464485742118
2.61333333333333,-5.53135134891302
2.64555555555556,-5.40332963824933
2.67777777777778,-5.28059473592647
2.71,-5.16314862747244
2.74222222222222,-5.05098597606866
2.77444444444444,-4.94409992738465
2.80666666666667,-4.84248787622127
2.83888888888889,-4.74615705701082
2.87111111111111,-4.65512982433814
2.90333333333333,-4.56944849462394
2.93555555555556,-4.4891796253368
2.96777777777778,-4.41441761325021
3,-4.34528749836913
