"Freq [GHz]","dB(S(1,1)) []"
0.1,-30.7129122298994
0.132222222222222,-28.3130225015321
0.164444444444444,-26.4520972163852
0.196666666666667,-24.9383332123205
0.228888888888889,-23.6679251930977
0.261111111111111,-22.5782733596749
0.293333333333333,-21.6286666369939
0.325555555555556,-20.79110092195
0.357777777777778,-20.045452925787
0.39,-19.3767436805772
0.422222222222222,-18.773492136553
0.454444444444444,-18.2266762937424
0.486666666666667,-17.7290516307677
0.518888888888889,-17.2746892715419
0.551111111111111,-16.8586545036879
0.583333333333333,-16.4767779033627
0.615555555555556,-16.1254893092929
0.647777777777778,-15.8016955120435
0.68,-15.5026890099528
0.712222222222222,-15.2260792600967
0.744444444444444,-14.9697404833493
0.776666666666667,-14.7317718204594
0.808888888888889,-14.5104668087337
0.841111111111111,-14.3042899554705
0.873333333333333,-14.1118587484861
0.905555555555556,-13.9319298445103
0.937777777777778,-13.763388463772
0.97,-13.6052402273741
1.00222222222222,-13.4562741737494
1.03444444444444,-13.3113168624105
1.06666666666667,-13.1734288376708
1.09888888888889,-13.0412956246827
1.13111111111111,-12.9136776184664
1.16333333333333,-12.7894112355531
1.19555555555556,-12.6674097736466
1.22777777777778,-12.5466640398306
1.26,-12.4262428097543
1.29222222222222,-12.3052931704334
1.32444444444444,-12.1830407822054
1.35666666666667,-12.058790074693
1.38888888888889,-11.9319243703345
1.42111111111111,-11.801905909481
1.45333333333333,-11.6682757349018
1.48555555555556,-11.5306533819063
1.51777777777778,-11.3887363137503
1.55,-11.2422990406537
1.58222222222222,-11.0911918642922
1.61444444444444,-10.9353391973829
1.64666666666667,-10.7747374190286
1.67888888888889,-10.6094522397394
1.71111111111111,-10.4396155643746
1.74333333333333,-10.2654218555569
1.77555555555556,-10.0871240134911
1.80777777777778,-9.90502879987224
1.84,-9.71949184330258
1.87222222222222,-9.53091227125605
1.90444444444444,-9.33972701931097
1.93666666666667,-9.14640487254557
1.96888888888889,-8.95144029721214
2.00111111111111,-8.75534712370115
2.03333333333333,-8.55865214494726
2.06555555555556,-8.36188869824629
2.09777777777778,-8.16559030315386
2.13,-7.97028443366122
2.16222222222222,-7.7764865088332
2.19444444444444,-7.58469419192188
2.22666666666667,-7.39538209279114
2.25888888888889,-7.20899697133124
2.29111111111111,-7.02595353942875
2.32333333333333,-6.84663095512011
2.35555555555556,-6.6713700941778
2.38777777777778,-6.50047167128292
2.42,-6.33419526526867
2.45222222222222,-6.17275928125606
2.48444444444444,-6.01634185781977
2.51666666666667,-5.86508270090957
2.54888888888889,-5.7190857995764
2.58111111111111,-5.57842295310693
2.61333333333333,-5.44313801631455
2.64555555555556,-5.3132517505572
2.67777777777778,-5.18876715326594
2.71,-5.06967512866373
2.74222222222222,-4.95596035679962
2.77444444444444,-4.84760721652149
2.80666666666667,-4.74460561979307
2.83888888888889,-4.64695661890764
2.87111111111111,-4.55467765372945
2.90333333333333,-4.46780731228216
2.93555555555556,-4.38640948421227
2.96777777777778,-4.31057679261265
3,-4.24043319551038
