"Freq [GHz]","mag(S(2,1)) []"
0.001,0.8587969077145
0.101,0.754078237205565
0.201,0.718017766620802
0.301,0.669279538482565
0.401,0.614692012531194
0.501,0.560198952510591
0.601,0.509372412876411
0.701,0.463867823491698
0.801,0.424147107041062
0.901,0.390042199757256
1.001,0.361105670977074
1.101,0.336779432597067
1.201,0.316516075633479
1.301,0.299800943137533
1.401,0.286170240025125
1.501,0.275212471541866
1.601,0.26656147728636
1.701,0.259885621662587
1.801,0.254875779175884
1.901,0.251233963646689
2.001,0.248664343086802
2.101,0.246868574162753
2.201,0.245547430597425
2.301,0.244410043636136
2.401,0.2431902819552
2.501,0.241666990582305
2.601,0.23968206304528
2.701,0.237149440160834
2.801,0.234050434391843
2.901,0.230415726905106
