"Freq [GHz]","mag(S(2,1)) []"
0.1,0.998905168346032
0.2,0.998308782238061
0.3,0.997269313487836
0.4,0.995720687247234
0.5,0.993573430152662
0.6,0.990716027425509
0.7,0.987016931355307
0.8,0.982330239342053
0.9,0.976508970500138
1,0.969428174306232
1.1,0.961460099234834
1.2,0.952739208103498
1.3,0.943612746345376
1.4,0.934482355193974
1.5,0.925763289662407
1.6,0.917842962633423
1.7,0.911044120495435
1.8,0.905595840961976
1.9,0.901613555150246
2,0.899088126904036
2.1,0.897883802744145
2.2,0.897745190227563
2.3,0.898313611719237
2.4,0.899152422257735
2.5,0.899778685892212
2.6,0.89969527337992
2.7,0.898414412537535
2.8,0.895463339459368
2.9,0.890367160148702
3,0.882613882710242
