"Freq [GHz]","dB(S(1,1)) []"
0.1,-35.1503794534202
0.2,-29.030246180118
0.3,-25.3380268803525
0.4,-22.5980854552393
0.5,-20.3513231491513
0.6,-18.4025777392507
0.7,-16.6632945538734
0.8,-15.1014262110942
0.9,-13.7195796925789
1,-12.5400044819641
1.1,-11.4877279884995
1.2,-10.5751841489955
1.3,-9.79481669869794
1.4,-9.13821427788004
1.5,-8.59625719013461
1.6,-8.15955290992165
1.7,-7.81882069756137
1.8,-7.56500578488335
1.9,-7.3890463236318
2,-7.28134164274277
2.1,-7.23105692586901
2.2,-7.22544305575927
2.3,-7.24935684475199
2.4,-7.28514789277853
2.5,-7.31304702465788
2.6,-7.31215191693779
2.7,-7.26204398145263
2.8,-7.14496316259751
2.9,-6.94831705864915
3,-6.66717328049237
