"Freq [GHz]","dB(S(1,1)) []"
0.1,-35.1621858522891
0.2,-29.0455357626177
0.3,-25.3517806433979
0.4,-22.6091325307593
0.5,-20.3593100781994
0.6,-18.4076842901065
0.7,-16.666139914764
0.8,-15.1028764076248
0.9,-13.7203360941643
1,-12.5399890168627
1.1,-11.4873457808999
1.2,-10.5745326751602
1.3,-9.79397997989413
1.4,-9.13725650116985
1.5,-8.59522118432638
1.6,-8.15846285515579
1.7,-7.81768732313073
1.8,-7.56383202651687
1.9,-7.38783186324721
2,-7.28008558876047
2.1,-7.22975875168926
2.2,-7.22410253053722
2.3,-7.24797390590699
2.4,-7.28372319697894
2.5,-7.31158340215926
2.6,-7.31065639591202
2.7,-7.26052970534008
2.8,-7.14345049267699
2.9,-6.94683321559175
3,-6.66574947818941
