"Freq [GHz]","dB(S(1,1)) []"
0.1,-35.1535263603021
0.2,-29.0357115252549
0.3,-25.3446816435953
0.4,-22.6054996337741
0.5,-20.3588576666975
0.6,-18.4094748389931
0.7,-16.6689422704475
0.8,-15.1056450182288
0.9,-13.7228086388479
1,-12.5432748633143
1.1,-11.4906393361592
1.2,-10.5777982122806
1.3,-9.79719119480249
1.4,-9.14039881422948
1.5,-8.59829171750138
1.6,-8.16146850188211
1.7,-7.82064179337595
1.8,-7.56675278800678
1.9,-7.39073761611887
2,-7.28299449911535
2.1,-7.23268729680712
2.2,-7.22706457823541
2.3,-7.25097960785567
2.4,-7.28677741245524
2.5,-7.31468362359113
2.6,-7.31379042067776
2.7,-7.26367348796836
2.8,-7.14656667360369
2.9,-6.94987084610345
3,-6.66864572166177
