"Freq [GHz]","dB(S(1,1)) []"
0.1,-35.2599101682609
0.2,-29.1120814711556
0.3,-25.3835183892709
0.4,-22.6072994872093
0.5,-20.3335747091907
0.6,-18.3734020451307
0.7,-16.638911771455
0.8,-15.0917014590462
0.9,-13.7211189994735
1,-12.5319867096678
1.1,-11.4811853834241
1.2,-10.5698213515562
1.3,-9.7903632589384
1.4,-9.13444636385536
1.5,-8.59300589208504
1.6,-8.15669995088217
1.7,-7.81628599874631
1.8,-7.5627326836084
1.9,-7.38698936008394
2,-7.27945961361922
2.1,-7.22931138637783
2.2,-7.22380047992716
2.3,-7.24779177540381
2.4,-7.28364478290703
2.5,-7.31159976297661
2.6,-7.31076151705155
2.7,-7.26071583251933
2.8,-7.14370530723954
2.9,-6.94714079545671
3,-6.66609842611024
