"Freq [GHz]","mag(S(2,1)) []"
0.1,0.999058003265088
0.2,0.998433529754563
0.3,0.997355227888477
0.4,0.995766364705986
0.5,0.993586166787512
0.6,0.990708486596059
0.7,0.987002081278454
0.8,0.982316039788053
0.9,0.976494483914066
1,0.96940255916051
1.1,0.961430178643554
1.2,0.952705505140381
1.3,0.943575698744708
1.4,0.934442359111754
1.5,0.925720747011209
1.6,0.917798311007203
1.7,0.910997834668726
1.8,0.905548405915073
1.9,0.901565419221069
2,0.899039648784015
2.1,0.89783520776834
2.2,0.897696550023385
2.3,0.898264856385847
2.4,0.899103385098502
2.5,0.899729167623761
2.6,0.899645098949126
2.7,0.898363446203172
2.8,0.895411431426706
2.9,0.890314026493572
3,0.882558966857192
