"Freq [GHz]","mag(S(2,1)) []"
0.1,0.998668142009111
0.2,0.998106165485787
0.3,0.997115428762934
0.4,0.995618740851572
0.5,0.993514564816647
0.6,0.99068158641548
0.7,0.986984353481811
0.8,0.982282369157313
0.9,0.976445500546808
1,0.969376595578787
1.1,0.961403432469468
1.2,0.95267687378168
1.3,0.943544658503587
1.4,0.934408811587835
1.5,0.925684827241117
1.6,0.917760220978951
1.7,0.910957741799799
1.8,0.905506416291044
1.9,0.901521609989029
2,0.898994128068476
2.1,0.897788164740822
2.2,0.897648261930311
2.3,0.898215633613948
2.4,0.899053459907618
2.5,0.899678564122668
2.6,0.899593551729634
2.7,0.898310446227147
2.8,0.895356452485423
2.9,0.89025691555742
3,0.882500377586228
