"Freq [GHz]","mag(S(2,1)) []"
0.1,0.999953013561617
0.2,0.999898512633257
0.3,0.999832190782953
0.4,0.999778240531015
0.5,0.999751437171099
0.6,0.999749182229804
0.7,0.999750822005545
0.8,0.999723281610746
0.9,0.999627346427045
1,0.999415597307875
1.1,0.999057554824928
1.2,0.998536203298329
1.3,0.9978743609876
1.4,0.997127222106196
1.5,0.996377896675304
1.6,0.995726059800494
1.7,0.995271233411409
1.8,0.995093524522305
1.9,0.995235437810755
2,0.995688592174218
2.1,0.996388816380254
2.2,0.997222153109133
2.3,0.998042639364409
2.4,0.998700238054933
2.5,0.999074124608753
2.6,0.999103357968124
2.7,0.998804939104071
2.8,0.998269502436401
2.9,0.997627730486098
3,0.996985223506344
