"Freq [GHz]","mag(S(2,1)) []"
0.001,0.999951635742823
0.101,0.887429461540192
0.201,0.851695273059178
0.301,0.812029720834102
0.401,0.765299025140667
0.501,0.714650623633621
0.601,0.663354288542864
0.701,0.613903492832976
0.801,0.567911991222283
0.901,0.526254274471698
1.001,0.489266510259878
