"Freq [MHz]","mag(S(2,1)) []"
1,0.885815066978767
101,0.876807254522187
201,0.851707847622805
301,0.813662221589151
401,0.766974078320403
501,0.715954238442352
601,0.664208367309896
701,0.614349650729088
801,0.568029043369786
901,0.526122558439535
