Freq [Hz];mag(S(2,1)) [];;;;;
1,00E+06;0.834920206548074;;;;;
2,00E+06;0.834914460246492;;;;;
3,00E+06;0.834904888572017;;;;;
4,00E+06;0.834891490865807;;;;;
5,00E+06;0.834874268712706;;;;;
6,00E+06;0.834853224281045;;;;;
7,00E+06;0.834828360063042;;;;;
8,00E+06;0.83479967874715;;;;;
9,00E+06;0.834767183121571;;;;;
1,00E+07;0.834730875996745;;;;;
1,10E+07;0.834690747444759;;;;;
1,20E+07;0.834646805817522;;;;;
1,30E+07;0.834599053274507;;;;;
1,40E+07;0.834547492116037;;;;;
1,50E+07;0.834492124785004;;;;;
1,60E+07;0.834432953869453;;;;;
1,70E+07;0.834369982105627;;;;;
1,80E+07;0.834303212381107;;;;;
1,90E+07;0.834232647737826;;;;;
2,00E+07;0.834158291374799;;;;;
2,10E+07;0.834080146650486;;;;;
2,20E+07;0.83399821708477;;;;;
2,30E+07;0.833912506360531;;;;;
2,40E+07;0.833823018324855;;;;;
2,50E+07;0.833729756989909;;;;;
2,60E+07;0.833632726533519;;;;;
2,70E+07;0.833531931299498;;;;;
2,80E+07;0.833427375797752;;;;;
2,90E+07;0.833319064704215;;;;;
3,00E+07;0.833207002860628;;;;;
3,10E+07;0.833091195274197;;;;;
3,20E+07;0.832971647117145;;;;;
3,30E+07;0.83284836372619;;;;;
3,40E+07;0.832721350601943;;;;;
3,50E+07;0.832590613408261;;;;;
3,60E+07;0.832456157971542;;;;;
3,70E+07;0.832317990279994;;;;;
3,80E+07;0.832176116482853;;;;;
3,90E+07;0.832030542889594;;;;;
4,00E+07;0.831881275969096;;;;;
4,10E+07;0.831728322348805;;;;;
4,20E+07;0.831571688813861;;;;;
4,30E+07;0.831411382306217;;;;;
4,40E+07;0.831247409923736;;;;;
4,50E+07;0.831079778919277;;;;;
4,60E+07;0.830908496699762;;;;;
4,70E+07;0.830733570825232;;;;;
4,80E+07;0.830555009007881;;;;;
4,90E+07;0.83037281911109;;;;;
5,00E+07;0.830187009148435;;;;;
5,10E+07;0.829997587282685;;;;;
5,20E+07;0.829804561824792;;;;;
5,30E+07;0.82960794123286;;;;;
5,40E+07;0.829407734111108;;;;;
5,50E+07;0.829203949208815;;;;;
5,60E+07;0.828996595419252;;;;;
5,70E+07;0.828785681778608;;;;;
5,80E+07;0.828571217464895;;;;;
5,90E+07;0.828353211796844;;;;;
6,00E+07;0.828131674232793;;;;;
6,10E+07;0.827906614369549;;;;;
6,20E+07;0.827678041941259;;;;;
6,30E+07;0.827445966818248;;;;;
6,40E+07;0.827210399005856;;;;;
6,50E+07;0.826971348643263;;;;;
6,60E+07;0.826728826002304;;;;;
6,70E+07;0.82648284148626;;;;;
6,80E+07;0.826233405628658;;;;;
6,90E+07;0.825980529092041;;;;;
7,00E+07;0.825724222666742;;;;;
7,10E+07;0.825464497269634;;;;;
7,20E+07;0.825201363942882;;;;;
7,30E+07;0.824934833852678;;;;;
7,40E+07;0.824664918287967;;;;;
7,50E+07;0.824391628659161;;;;;
7,60E+07;0.824114976496852;;;;;
7,70E+07;0.823834973450503;;;;;
7,80E+07;0.823551631287143;;;;;
7,90E+07;0.823264961890043;;;;;
