"Freq [GHz]","mag(S(2,1)) [] - rhe='5.5mm'","mag(S(2,1)) [] - rhe='6mm'","mag(S(2,1)) [] - rhe='6.5mm'","mag(S(2,1)) [] - rhe='7mm'","mag(S(2,1)) [] - rhe='7.5mm'","mag(S(2,1)) [] - rhe='8mm'","mag(S(2,1)) [] - rhe='8.5mm'","mag(S(2,1)) [] - rhe='9mm'","mag(S(2,1)) [] - rhe='9.5mm'","mag(S(2,1)) [] - rhe='10mm'","mag(S(2,1)) [] - rhe='10.5mm'","mag(S(2,1)) [] - rhe='11.5mm'"
0.001,0.999999936636414,0.999999942814527,0.999999947051743,0.99999994958365,0.99999995589518,0.999999956477941,0.999999961300732,0.999999961592067,0.999999966298106,0.999999969749545,0.999999938012528,0.999999973458815
0.004002002002002,0.999999695830146,0.999999725655275,0.99999974754043,0.999999766123198,0.999999786587387,0.999999798848799,0.999999814719608,0.999999824793925,0.999999837689124,0.999999849012367,0.999999823944483,0.99999986879636
0.007004004004004,0.999999387953714,0.999999445874127,0.999999489238105,0.999999527189374,0.999999564832618,0.999999591098664,0.999999620466095,0.99999964287257,0.999999665657163,0.999999686629975,0.999999669674886,0.999999725916622
0.010006006006006,0.999999009577311,0.999999100886053,0.999999169520277,0.999999230042818,0.999999288197973,0.999999330981773,0.999999376516754,0.999999413956346,0.999999448040011,0.999999480477715,0.999999473181893,0.999999543177514
0.013008008008008,0.999998550816656,0.999998681609177,0.99999878020276,0.999998867367576,0.999998949931664,0.999999012238323,0.999999077064322,0.999999132621668,0.999999180005479,0.999999226083858,0.999999230282694,0.999999316686642
0.01601001001001,0.999998012660535,0.999998189012616,0.999998322203223,0.999998440016907,0.999998550857148,0.99999863568113,0.999998722896796,0.999998799655263,0.999998862266061,0.999998924155947,0.999998941661064,0.999999047130521
0.019012012012012,0.999997405224648,0.999997632143491,0.999997803764774,0.99999795549108,0.999998097841898,0.999998207645001,0.999998319858633,0.999998420482316,0.999998499858836,0.999998579377486,0.99999861170041,0.999998738478788
0.022014014014014,0.99999673384513,0.999997015772171,0.999997229231987,0.999997417742365,0.999997594502948,0.999997731463887,0.999997871023467,0.999997997952361,0.999998095429038,0.999998194205226,0.999998242698583,0.999998392808613
0.025016016016016,0.999996000501821,0.999996341668599,0.999996600216717,0.999996828238055,0.999997042183006,0.999997208374383,0.999997377530563,0.999997533119332,0.999997649955964,0.999997769547365,0.999997835504699,0.999998010885731
0.028018018018018,0.999995205198208,0.999995609837985,0.999995916725279,0.999996186987012,0.999996440891627,0.999996638385352,0.999996839388469,0.999997025989334,0.999997163447899,0.999997305411234,0.999997390126265,0.999997592716289
0.03102002002002,0.999994346968844,0.999994819422026,0.999995177979784,0.999995493287034,0.99999578998971,0.999996020909623,0.99999625605808,0.99999647606231,0.99999663544505,0.99999680137125,0.999996906167301,0.999997137944047
