"Freq [GHz]","mag(S(2,1)) [] - rhe='5.5mm'","mag(S(2,1)) [] - rhe='6mm'","mag(S(2,1)) [] - rhe='6.5mm'","mag(S(2,1)) [] - rhe='7mm'","mag(S(2,1)) [] - rhe='7.5mm'","mag(S(2,1)) [] - rhe='8mm'","mag(S(2,1)) [] - rhe='8.5mm'","mag(S(2,1)) [] - rhe='9mm'","mag(S(2,1)) [] - rhe='9.5mm'","mag(S(2,1)) [] - rhe='10mm'","mag(S(2,1)) [] - rhe='10.5mm'","mag(S(2,1)) [] - rhe='11.5mm'"
0.001,0.999999883023136,0.999999801793796,0.999999658522818,0.999999482582476,0.999999206703401,0.999998752216109,0.999998038635811,0.999996858660101,0.999994806520754,0.999990547011832,0.999979678764124,0.972342562720604
0.004002002002002,0.999999114192059,0.999998065131037,0.999996176239199,0.999993840405812,0.99999008166891,0.999983938917885,0.999974206043694,0.999958216983132,0.999930452036678,0.999873495594333,0.999731994660922,0.972201982837581
0.007004004004004,0.999997985255794,0.999995399223991,0.999990762500876,0.999985010269733,0.999975793338528,0.99996083633181,0.999937305120166,0.999899063686858,0.99983355016355,0.999702112474912,0.999387908690816,0.971894149454889
0.010006006006006,0.99999677028669,0.999992643942447,0.999985294486641,0.999976157635165,0.999961603075428,0.999938153360843,0.999901534429419,0.999842630055264,0.999742986833905,0.999546998616537,0.999093427326561,0.971422156041574
0.013008008008008,0.999995536435438,0.99999004828154,0.999980348962791,0.999968280922113,0.999949163414709,0.999918552147742,0.999871053534484,0.999795288451191,0.99966839558269,0.999422529806094,0.998866668610431,0.970790708284873
0.01601001001001,0.999994295795512,0.999987632404423,0.999975943193331,0.999961390594414,0.999938452744488,0.999901911904571,0.999845499984514,0.999756102446767,0.99960747317031,0.999322587734502,0.998688873445802,0.970005927994474
0.019012012012012,0.999993055017978,0.99998536481053,0.999971961350281,0.999955258850282,0.999929042520782,0.999887441922801,0.999823460105913,0.999722559344798,0.999555682944773,0.999238283666971,0.998540211754585,0.969075256591871
0.022014014014014,0.999991798366267,0.999983177317246,0.999968236743203,0.99994959461539,0.999920435654709,0.999874301665461,0.999803542589574,0.999692362631956,0.999509177700001,0.999162717072536,0.998406936576157,0.968007236174994
0.025016016016016,0.99999050529347,0.999981005216928,0.999964625855267,0.99994415658608,0.999912234095223,0.999861840877524,0.999784706122411,0.999663851127239,0.999465274994226,0.999091293408904,0.998280453681359,0.966811298642732
0.028018018018018,0.999989157315504,0.999978797713339,0.99996102166192,0.999938768614338,0.999904153105547,0.999849604003245,0.999766236021731,0.999635909165606,0.999422215765382,0.999021090431837,0.998155526351408,0.965497545522957
0.03102002002002,0.999987739806746,0.999976517778735,0.999957348708567,0.999933308297851,0.99989599761642,0.999837283585844,0.999747657183341,0.999607807024983,0.999378870196769,0.99895027519943,0.998028980534098,0.964076527338889
0.034022022022022,0.999986241877647,0.999974139347462,0.999953555140732,0.999927692440294,0.999887636528015,0.999824675527784,0.999728658250833,0.999579073200788,0.999334520003452,0.998877707431246,0.997898905593115,0.962559030480795
0.037024024024024,0.999984655710599,0.99997164446075,0.999949605896273,0.999921865311876,0.9998789829167,0.999811646090652,0.99970903779874,0.999549407066722,0.999288715041862,0.998802689493474,0.997764177474334,0.960955878303769
0.040026026026026,0.999982975861638,0.999969021005374,0.999945477703511,0.999915790258378,0.999869980227806,0.999798109407428,0.999688668445768,0.999518621880349,0.999241181825052,0.998724811175382,0.997624172921335,0.959277751691999
0.043028028028028,0.999981198677956,0.999966261066755,0.999941155594755,0.999909443949793,0.999860592953785,0.999784012522291,0.999667473309074,0.999486607908714,0.999191765204781,0.998643852524843,0.997478594802963,0.95753503275764
0.04603003003003,0.999979321851091,0.999963359766783,0.999936630516684,0.999902812482415,0.999850800379895,0.999769325451599,0.999645410505268,0.999453308383064,0.999140390723086,0.998559721897369,0.997327362551484,0.955737673804268
0.049032032032032,0.999977344086037,0.999960314451128,0.999931897693473,0.99989588872942,0.999840592361944,0.999754034517814,0.999622462818284,0.999418703568861,0.999087039837145,0.998472415530342,0.997170541453646,0.9538950922808
0.052034034034034,0.999975264859428,0.999957124119801,0.999926955496867,0.999888670521525,0.999829966439452,0.999738137809886,0.999598630688756,0.999382799997912,0.999031733243585,0.998381990482499,0.997008295658156,0.952016091251297
0.055036036036036,0.999973084243191,0.999953789024892,0.99992180465654,0.999881159379558,0.999818925828991,0.999721642033492,0.999573927357646,0.999345623023444,0.99897451937687,0.998288546033838,0.99684085602271,0.950108803948121
0.058038038038038,0.999970802775368,0.999950310383054,0.999916447699794,0.999873359616289,0.999807478002535,0.999704560279192,0.999548375424767,0.999307211546606,0.998915466272162,0.99819221055584,0.996668497489572,0.948180660272137
0.06104004004004,0.999968421364687,0.999946690167072,0.999910888547086,0.99986527768765,0.999795633658846,0.999686910404388,0.999522004350058,0.999267614185644,0.998854655658284,0.998093131998691,0.996491522745097,0.946238372643809
0.064042042042042,0.999965941219249,0.99994293095231,0.999905132214427,0.999856921714216,0.99978340596205,0.999668713831303,0.999494848592656,0.999226886420574,0.99879217855901,0.997991470826651,0.996310250139101,0.944287938367397
0.067044044044044,0.999963363792521,0.999939035801589,0.999899184589864,0.999848301120186,0.999770809964108,0.999649994630753,0.999466946188331,0.999185088409627,0.998728131936336,0.997887394651393,0.996125004574802,0.942334655611886
0.070046046046046,0.999960690741796,0.999935008177193,0.999893052261833,0.99983942635437,0.999757862155316,0.99963077880499,0.999438337633131,0.999142283277329,0.998662616069797,0.997781074073307,0.995936110530622,0.940383150197627
0.0730480480480481,0.999957923895688,0.999930851872198,0.999886742384159,0.999830308668976,0.999744580105005,0.99961109371112,0.999409064984573,0.999098535740486,0.9985957324681,0.997672679405122,0.995743886656342,0.938437410568126
0.0760500500500501,0.999955065228211,0.999926570955695,0.999880262567221,0.999820959939531,0.999730982166478,0.999590967585191,0.999379171120185,0.999053910981577,0.998527582175348,0.997562378057411,0.995548641564493,0.936500828586374
0.0790520520520521,0.999952116837703,0.999922169728044,0.999873620787903,0.999811392514329,0.999717087228186,0.99957042913943,0.999348699112051,0.999008473707567,0.998458264377416,0.997450332434023,0.995350670552736,0.934576244093899
0.0820540540540541,0.999949080929305,0.999917652683453,0.999866825313135,0.999801619085227,0.99970291449854,0.999549507213454,0.999317691688686,0.998962287351127,0.998387875242616,0.997336698230449,0.995150253068151,0.932665991483736
0.0850560560560561,0.999945959800083,0.999913024477893,0.999859884633327,0.999791652573978,0.999688483315445,0.999528230466,0.999286190764167,0.998915413384082,0.998316506950059,0.997221623058176,0.994947650774243,0.930771946846728
0.0880580580580581,0.999942755826106,0.999908289900948,0.999852807402999,0.999781506029931,0.999673812974203,0.999506627097619,0.999254237020334,0.998867910721635,0.998244246872059,0.997105245338248,0.994743106115139,0.928895574540839
0.0910600600600601,0.999939471450988,0.99990345385054,0.999845602386671,0.999771192536085,0.999658922569222,0.999484724597566,0.999221869531954,0.998819835201908,0.998171176885808,0.996987693421058,0.994536841294551,0.927037972296663
0.0940620620620621,0.999936109175505,0.999898521309765,0.999838278408589,0.999760725121293,0.999643830846261,0.999462549510019,0.999189125427619,0.998771239129505,0.998097372795688,0.996869084898921,0.994329057603345,0.925199914204415
0.0970640640640641,0.999932671548024,0.999893497325277,0.999830844305222,0.999750116677013,0.999628556062808,0.999440127216133,0.999156039581117,0.998722170874672,0.998022903851764,0.996749526084593,0.994119935041181,0.923381891126615
0.100066066066066,0.999929174365666,0.999888412452077,0.999823356037301,0.999739454691284,0.999613234736423,0.99941767152669,0.99912294554322,0.998673155517823,0.997948619170961,0.996629141979441,0.993909634544926,0.921584147093266
0.103068068068068,0.999926186939184,0.999884360846113,0.999817837745958,0.999731950997642,0.999602973364241,0.999403341415652,0.999102803051579,0.998644905531016,0.997908428518525,0.996509004357095,0.993697986558626,0.919806652597243
0.10607007007007,0.999923116539399,0.999880196497805,0.999812165470754,0.999724237323309,0.999592423835329,0.999388607059845,0.999082089173266,0.998615847729387,0.997867074164441,0.996387536682906,0.993484643627826,0.918049296831521
0.109072072072072,0.999919963628048,0.999875920013642,0.999806339999195,0.999716314686492,0.999581587454423,0.999373470124017,0.999060805979006,0.998585984479539,0.997824558296254,0.996264826556162,0.993269755672303,0.91631177741994
0.112074074074074,0.9999167286796,0.999871532016658,0.99980036214006,0.999708184132729,0.99957046556116,0.99935793231752,0.999038955595679,0.998555318214937,0.997780883174228,0.996140955888667,0.993053459961345,0.91459366604644
0.115076076076076,0.999913412181219,0.999867033146352,0.999794232723289,0.999699846734738,0.999559059529869,0.999341995394043,0.999016540206045,0.998523851435809,0.997736051132112,0.996016001008254,0.992835881582469,0.912894431231257
0.118078078078078,0.99991001463271,0.999862424058614,0.999787952599867,0.999691303592249,0.999547370769344,0.999325661151338,0.998993562048459,0.99849158670904,0.997690064577895,0.995890032788401,0.992617133949134,0.911213458487595
0.12108008008008,0.999906536546477,0.999857705425651,0.999781522641706,0.999682555831838,0.999535400722627,0.999308931430943,0.998970023416582,0.998458526668059,0.997642925994578,0.995763116800049,0.992397319337838,0.909550068046645
0.124082082082082,0.999902978447472,0.999852877935902,0.999774943741525,0.999673604606756,0.999523150866773,0.999291808117892,0.998945926659078,0.998424674012722,0.997594637940956,0.995635313481939,0.992176529445916,0.907903530347424
0.127084084084084,0.999899340873146,0.999847942293961,0.999768216812723,0.999664451096752,0.999510622712619,0.999274293140426,0.998921274179313,0.998390031509194,0.997545203052397,0.995506678326053,0.991954845962266,0.906273079489496
0.130086086086086,0.999895624373398,0.999842899220487,0.999761342789256,0.999655096507898,0.999497817804541,0.99925638846969,0.998896068435044,0.998354601989825,0.997494624041636,0.995377262074952,0.991732341144189,0.904657924842956
0.133088088088088,0.999891829510521,0.999837749452127,0.999754322625504,0.999645542072404,0.999484737720209,0.999238096119428,0.998870311938093,0.998318388353014,0.997442903699568,0.995247110928137,0.991509078394341,0.903057261002643
0.13609009009009,0.999887956859148,0.999832493741419,0.99974715729614,0.999635789048429,0.999471384070338,0.999219418145669,0.998844007254023,0.998281393563081,0.997390044896045,0.995116266754749,0.991285112832689,0.901470276263499
0.139092092092092,0.999884007006201,0.999827132856708,0.999739847795992,0.999625838719891,0.999457758498428,0.999200356646412,0.998817157001808,0.99824362065012,0.997336050580678,0.994984767310276,0.991060491859093,0.899896159782413
0.142094094094094,0.999879980550828,0.999821667582052,0.999732395139907,0.999615692396275,0.999443862680508,0.999180913761293,0.998789763853486,0.998205072709859,0.997280923783638,0.994852646455118,0.99083525570288,0.898334107579335
0.145096096096096,0.99987587810435,0.999816098717129,0.999724800362609,0.999605351412427,0.999429698324863,0.999161091671262,0.998761830533816,0.998165752903503,0.997224667616454,0.994719934373166,0.990609437956437,0.896783327517608
0.148098098098098,0.999871700290199,0.999810427077139,0.999717064518554,0.999594817128362,0.999415267171771,0.999140892598237,0.998733359819919,0.998125664457581,0.997167285272825,0.994586657788759,0.990383066090426,0.895243043390727
0.1511001001001,0.999867447743857,0.999804653492711,0.999709188681782,0.999584090929046,0.99940057099322,0.999120318804766,0.998704354540919,0.998084810663782,0.997108780029407,0.99445284018062,0.990156161948788,0.893712498230352
0.154102102102102,0.999863121112798,0.999798778809795,0.999701173945769,0.999573174224195,0.999385611592628,0.999099372593671,0.998674817577574,0.998043194878786,0.997049155246622,0.99431850199159,0.989928742222152,0.892190956938618
0.157104104104104,0.999858721056419,0.999792803889569,0.999693021423275,0.999562068448054,0.999370390804561,0.999078056307695,0.998644751861898,0.99800082052409,0.996988414369447,0.994183660833147,0.989700818898704,0.890677708336746
0.160106106106106,0.999854248245978,0.99978672960833,0.999684732246184,0.999550775059184,0.999354910494437,0.999056372329139,0.998614160376784,0.997957691085826,0.9969265609282,0.994048331683902,0.989472399691923,0.889172066711689
0.163108108108108,0.999849703364529,0.999780556857388,0.999676307565352,0.999539295540238,0.999339172558232,0.999034323079492,0.998583046155608,0.997913810114576,0.996863598539333,0.993912527081406,0.989243488444908,0.887673372933121
0.16611011011011,0.999845087106849,0.999774286542959,0.999667748550442,0.999527631397738,0.999323178922181,0.999011911019058,0.99855141228184,0.997869181225177,0.996799530906201,0.993776257306766,0.989014085511291,0.886180995204495
