"Freq [GHz]","mag(S(2,1)) [] - rhe='5.5mm'","mag(S(2,1)) [] - rhe='6mm'","mag(S(2,1)) [] - rhe='6.5mm'","mag(S(2,1)) [] - rhe='7mm'","mag(S(2,1)) [] - rhe='7.5mm'","mag(S(2,1)) [] - rhe='8mm'","mag(S(2,1)) [] - rhe='8.5mm'","mag(S(2,1)) [] - rhe='9mm'","mag(S(2,1)) [] - rhe='9.5mm'","mag(S(2,1)) [] - rhe='10mm'","mag(S(2,1)) [] - rhe='10.5mm'","mag(S(2,1)) [] - rhe='11.5mm'"
0.001,0.999999883996567,0.999999804735226,0.999999665083177,0.999999493620421,0.999999225036489,0.999998782577458,0.999998088221587,0.999996940122817,0.999994943964427,0.999990801206164,0.99998023096577,0.971548997413367
0.004002002002002,0.999999128243866,0.999998107451843,0.99999627015808,0.999993998429112,0.999990343346998,0.999984369414434,0.999974903262879,0.99995934994156,0.999932333764082,0.999876886592907,0.999738999207117,0.971383669359525
0.007004004004004,0.999998020108782,0.999995503945728,0.999990993037418,0.999985397277023,0.999976429830956,0.999961873064535,0.999938962703248,0.999901709362181,0.999837839032337,0.999709534275093,0.999402119838805,0.971022070904536
0.010006006006006,0.999996823534423,0.999992803248456,0.999985642262448,0.999976740205715,0.999962554829098,0.999939686745076,0.999903952258057,0.999846418216876,0.999748973632825,0.999556937624917,0.999111045320852,0.970468811798733
0.013008008008008,0.99999560043875,0.999990234272074,0.999980747258334,0.999968944799297,0.99995024037331,0.999920271469523,0.999873735976447,0.999799430070321,0.999674800524951,0.999432755818539,0.998883392702338,0.969730849423869
0.01601001001001,0.999994357767916,0.999987807511239,0.99997631342731,0.999962009613647,0.999939457735027,0.999903512842896,0.999847984171188,0.999759891987649,0.999613202533194,0.999331310575575,0.998701580192674,0.968817190687177
0.019012012012012,0.999993105741887,0.999985503909095,0.999972251734784,0.999955748431609,0.999929840326446,0.999888710390062,0.999825412462847,0.999725479290819,0.99955992794736,0.999244187613594,0.998546660803753,0.967738657198406
0.022014014014014,0.999991831696551,0.999983264093317,0.999968413198933,0.999949897470686,0.999920931849051,0.999875083686199,0.999804717226348,0.999694024717787,0.999511325188089,0.999164801048858,0.998405422807927,0.966507519723802
0.025016016016016,0.999990517112131,0.999981028539625,0.999964664402203,0.999944231193222,0.999912358362822,0.999862019120544,0.999784912423403,0.999663950877752,0.999464840718426,0.999088763133094,0.998269614714159,0.965137133729581
0.028018018018018,0.999989144709675,0.999978749333744,0.999960903937183,0.999938582514571,0.999903849577447,0.999849084121636,0.999765319566367,0.999634198917681,0.999418805072137,0.999013297653769,0.99813424570026,0.963641569883235
0.03102002002002,0.999987700558282,0.99997639107612,0.999957059632092,0.999932834605185,0.999895219794224,0.999835986926952,0.999745489350295,0.999604080980557,0.999372156164253,0.998936684708981,0.997996339000409,0.962035256535549
