"Freq [GHz]","mag(S(2,1)) [] - rhe='5.5mm'","mag(S(2,1)) [] - rhe='6mm'","mag(S(2,1)) [] - rhe='6.5mm'","mag(S(2,1)) [] - rhe='7mm'","mag(S(2,1)) [] - rhe='7.5mm'","mag(S(2,1)) [] - rhe='8mm'","mag(S(2,1)) [] - rhe='8.5mm'","mag(S(2,1)) [] - rhe='9mm'","mag(S(2,1)) [] - rhe='9.5mm'","mag(S(2,1)) [] - rhe='10mm'","mag(S(2,1)) [] - rhe='10.5mm'","mag(S(2,1)) [] - rhe='11.5mm'"
0.001,0.999999948757761,1.00000000043372,1.00000010152559,1.00000022795944,1.00000044486636,1.000000808477,1.00000138953082,1.0000023642822,1.00000409912621,1.00000774865765,1.00001710826307,1.03078391417562
0.004002002002002,0.999999976211041,1.00000065850804,1.00000193984029,1.00000353209538,1.00000614583102,1.0000105134044,1.00001732829132,1.00002864227537,1.00004834542344,1.0000888083958,1.00018899005666,1.02982788263442
0.007004004004004,0.999999892688111,1.00000114766306,1.00000350205261,1.0000064232874,1.00001119481368,1.00001911656491,1.0000313910676,1.0000515775086,1.00008628237941,1.00015619393048,1.00032389552274,1.02775840351532
0.010006006006006,0.999999542094921,1.00000098507659,1.00000372484889,1.00000711631138,1.00001266623145,1.00002185709517,1.00003606421856,1.0000593226611,1.00009902596609,1.00017816876922,1.00036470889716,1.02464891484422
0.013008008008008,0.999998646769446,0.999999724071614,1.00000216331156,1.00000527018287,1.00001045251257,1.0000190923278,1.00003250774553,1.00005448609003,1.00009191320684,1.00016622033848,1.00033993603204,1.0206050389108
0.01601001001001,0.999997725325207,0.999998394508881,1.00000021682463,1.00000256784037,1.00000663093811,1.00001350936433,1.00002432153217,1.00004216029322,1.00007258921554,1.00013309629173,1.00027431060617,1.01575582968664
0.019012012012012,0.99999674211802,0.999996907459313,0.999997883089723,0.99999916059707,1.00000159239007,1.00000586576057,1.00001279066879,1.00002444135604,1.00004446663526,1.00008469433598,1.00017918585335,1.01024409597723
0.022014014014014,0.999995671716927,0.999995228342356,0.999995164591318,0.999995111177351,0.999995500354831,0.999996490817245,0.999998495798584,1.00000230820293,1.00000918111007,1.00002389418673,1.0000601562801,1.00421694069377
0.025016016016016,0.999994498153514,0.9999933427424,0.999992065902261,0.999990453345203,0.99998843918367,0.999985555467512,0.999981743171578,0.999976286159699,0.999967624614753,0.999952290513998,0.999920370186852,0.997817559623957
0.028018018018018,0.999993211868821,0.9999912449309,0.999988592868069,0.999985210006289,0.999980461812547,0.999973165143604,0.99996272180038,0.999946701822244,0.999920357471403,0.999870899462001,0.999761878078906,0.991178879431421
0.03102002002002,0.999991807354607,0.999988933426422,0.999984752295606,0.999979399778351,0.999971607698015,0.999959396058349,0.999941567014101,0.99991378906997,0.99986778331559,0.999780462189971,0.999586210418705,0.984419244375259
