"Freq [GHz]","dB(S(1,1)) []"
0.1,-30.486085887882
0.132222222222222,-28.1002736608851
0.164444444444444,-26.2549824967836
0.196666666666667,-24.7586347457174
0.228888888888889,-23.5071617978432
0.261111111111111,-22.4375271205736
0.293333333333333,-21.5085122137953
0.325555555555556,-20.691583220142
0.357777777777778,-19.9660951596767
0.39,-19.3165781079776
0.422222222222222,-18.7311090040083
0.454444444444444,-18.2002876448291
0.486666666666667,-17.7165670366762
0.518888888888889,-17.2738007168768
0.551111111111111,-16.8669277632196
0.583333333333333,-16.4917478290512
0.615555555555556,-16.1447565230135
0.647777777777778,-15.8230220670345
0.68,-15.5240906407162
0.712222222222222,-15.2459118877218
0.744444444444444,-14.9867786881798
0.776666666666667,-14.7452770500789
0.808888888888889,-14.5202431750772
0.841111111111111,-14.3107256126373
0.873333333333333,-14.1159510553531
0.905555555555556,-13.9352928235171
0.937777777777778,-13.7682414825941
0.97,-13.6143773565536
1.00222222222222,-13.4723926611558
1.03444444444444,-13.3276986780587
1.06666666666667,-13.1900529136019
1.09888888888889,-13.0581470684337
1.13111111111111,-12.9307462978461
1.16333333333333,-12.8066905461255
1.19555555555556,-12.6848955921824
1.22777777777778,-12.5643538582026
1.26,-12.4441350372834
1.29222222222222,-12.3233865883377
1.32444444444444,-12.2013341312715
1.35666666666667,-12.0772817562335
1.38888888888889,-11.9506122406012
1.42111111111111,-11.8207871486583
1.45333333333333,-11.6873467733693
1.48555555555556,-11.5499098684141
1.51777777777778,-11.4081731123361
1.55,-11.2619102454111
1.58222222222222,-11.1109708233789
1.61444444444444,-10.955278539845
1.64666666666667,-10.7948290800641
1.67888888888889,-10.629687481871
1.71111111111111,-10.4599849936171
1.74333333333333,-10.2859154330257
1.77555555555556,-10.1077310639825
1.80777777777778,-9.92573801975296
1.84,-9.74029131057909
1.87222222222222,-9.55178946095431
1.90444444444444,-9.36066882731415
1.93666666666667,-9.16739765082067
1.96888888888889,-8.97246990293968
2.00111111111111,-8.77639898423091
2.03333333333333,-8.57971133977079
2.06555555555556,-8.38294005833826
2.09777777777778,-8.18661852712791
2.13,-7.99127421925265
2.16222222222222,-7.79742269730653
2.19444444444444,-7.60556192215186
2.22666666666667,-7.41616696103062
2.25888888888889,-7.22968519210429
2.29111111111111,-7.04653210261449
2.32333333333333,-6.86708777415503
2.35555555555556,-6.69169414042276
2.38777777777778,-6.5206530899797
2.42,-6.35422546913822
2.45222222222222,-6.19263101863412
2.48444444444444,-6.03604925323973
2.51666666666667,-5.88462126716526
2.54888888888889,-5.738452421463
2.58111111111111,-5.59761584417566
2.61333333333333,-5.46215665102291
2.64555555555556,-5.33209677509604
2.67777777777778,-5.20744027905872
2.71,-5.08817901303778
2.74222222222222,-4.97429847561838
2.77444444444444,-4.86578373364896
2.80666666666667,-4.76262525815717
2.83888888888889,-4.66482453766672
2.87111111111111,-4.57239933565664
2.90333333333333,-4.485388464997
2.93555555555556,-4.40385595833367
2.96777777777778,-4.32789451930251
3,-4.25762814523483
