"Freq [GHz]","mag(S(2,1)) []"
0.001,0.885815066978767
0.101,0.876807254522187
0.201,0.851707847622805
0.301,0.813662221589151
0.401,0.766974078320403
0.501,0.715954238442352
0.601,0.664208367309896
0.701,0.614349650729088
0.801,0.568029043369786
0.901,0.526122558439535
1.001,0.488954024717889
1.101,0.456490913598729
1.201,0.428487946500152
1.301,0.404591069986402
1.401,0.384393119778134
1.501,0.367472989116279
1.601,0.353414247356606
1.701,0.341810718190067
1.801,0.332264598528264
1.901,0.324381391808357
2.001,0.31776524988436
2.101,0.312017993635621
2.201,0.3067446338267
2.301,0.301567048648259
2.401,0.296145169888097
2.501,0.290201814889409
2.601,0.283544419807055
2.701,0.276076277431141
2.801,0.267792686991657
2.901,0.258762850897239
