"Freq [GHz]","mag(S(2,1)) []"
0.001,1.00000778904038
0.101,0.945833987392964
0.201,0.87492233889266
0.301,0.817230052818215
0.401,0.763247990075834
0.501,0.710020627971684
0.601,0.658146152746073
0.701,0.608943013920059
0.801,0.563491973792982
0.901,0.522430208490173
1.001,0.486004009348531
1.101,0.454133951940655
1.201,0.426636915702138
1.301,0.403143850883358
1.401,0.383258209227772
1.501,0.366578891274863
1.601,0.352709617949924
1.701,0.34126011405622
1.801,0.33184292384657
1.901,0.324068921858711
2.001,0.317544318085954
2.101,0.311871816312525
2.201,0.306658117526975
2.301,0.301528716401991
2.401,0.296148735768933
2.501,0.290245836640447
2.601,0.283629245629623
2.701,0.276199098123619
2.801,0.267943147861747
2.901,0.258922284723501
