"Freq [GHz]","mag(S(2,1)) []"
0.001,0.999966471372967
0.101,0.950222813391368
0.201,0.878993255684161
0.301,0.819317250769858
0.401,0.764120677108046
0.501,0.710311861633939
0.601,0.65819636674194
0.701,0.608916554084296
0.801,0.563461364720632
0.901,0.522422894821478
1.001,0.486027751510491
1.101,0.454185917754592
1.201,0.426714420575309
1.301,0.403241880308439
1.401,0.383371798472103
1.501,0.366704078263108
1.601,0.352843595018446
1.701,0.341401004978522
1.801,0.331989446521144
1.901,0.324220081590906
2.001,0.317699201549856
2.101,0.312029505139795
2.201,0.306817699837229
2.301,0.301689341444882
2.401,0.296309640690644
2.501,0.290406291261063
2.601,0.283788417368779
2.701,0.27635591436934
2.801,0.268096281247001
2.901,0.259070365412875
