"Freq [GHz]","mag(S(2,1)) []"
0.001,0.901209281874411
0.101,0.824701425783911
0.201,0.80258600985028
0.301,0.770540076350978
0.401,0.730795578377933
0.501,0.686617217417587
0.601,0.640997982219344
0.701,0.59628642710695
0.801,0.554106016057787
0.901,0.515435104240901
1.001,0.48075349141519
1.101,0.450179092674096
1.201,0.423608190330307
1.301,0.400795552832689
1.401,0.381420426368775
1.501,0.365128205089792
1.601,0.351552674907903
1.701,0.340325161527512
1.801,0.331075713713761
1.901,0.323430498401727
2.001,0.31700904734393
2.101,0.311424706566748
2.201,0.306291179328944
2.301,0.301236866029008
2.401,0.295926395910401
2.501,0.290085562021942
2.601,0.283523049201269
2.701,0.27614174084416
2.801,0.267935177548301
2.901,0.25897006681374
