"Freq [GHz]","dB(S(1,2)) []"
0.1,-0.000271755780357203
0.132222222222222,-0.000452947780872882
0.164444444444444,-0.000675165970162672
0.196666666666667,-0.000932056325068786
0.228888888888889,-0.0012163123676504
0.261111111111111,-0.00151989868454184
0.293333333333333,-0.00183429136385422
0.325555555555556,-0.00215072621089612
0.357777777777778,-0.00246044568977006
0.39,-0.0027549360995239
0.422222222222222,-0.00302614751240196
0.454444444444444,-0.00326669043919064
0.486666666666667,-0.00347000498667866
0.518888888888889,-0.00363050036373502
0.551111111111111,-0.00374366489219173
0.583333333333333,-0.0038061490954539
0.615555555555556,-0.00381582687437838
0.647777777777778,-0.00377184213814978
0.68,-0.0036746504405306
0.712222222222222,-0.0035260670859648
0.744444444444444,-0.00332933473074344
0.776666666666667,-0.00308922463535064
0.808888888888889,-0.00281218636226849
0.841111111111111,-0.00250656080792084
0.873333333333333,-0.00218287097325789
0.905555555555556,-0.00185420379377279
0.937777777777778,-0.00153669466212888
0.97,-0.00125012399406371
1.00222222222222,-0.00101341479510655
1.03444444444444,-0.000763389334599952
1.06666666666667,-0.000562398070958254
1.09888888888889,-0.00041808961449251
1.13111111111111,-0.000337081847581107
1.16333333333333,-0.000324752446904607
1.19555555555556,-0.000385051772823944
1.22777777777778,-0.000520343453698357
1.26,-0.000731277525187361
1.29222222222222,-0.00101670038969954
1.32444444444444,-0.00137360514990745
1.35666666666667,-0.00179712505717834
1.38888888888889,-0.00228057191822232
1.42111111111111,-0.00281552034115173
1.45333333333333,-0.00339193769766622
1.48555555555556,-0.00399835865374928
1.51777777777778,-0.00462210210120107
1.55,-0.00524952732877336
1.58222222222222,-0.00586632532723788
1.61444444444444,-0.0064578402469489
1.64666666666667,-0.00700941523763298
1.67888888888889,-0.00750675621310242
1.71111111111111,-0.00793630651127316
1.74333333333333,-0.00828562497131163
1.77555555555556,-0.00854375963276303
1.80777777777778,-0.00870160907998147
1.84,-0.00875226341259401
1.87222222222222,-0.00869131691997469
1.90444444444444,-0.0085171447750646
1.93666666666667,-0.00823113644000902
1.96888888888889,-0.0078378789924371
2.00111111111111,-0.00734528423555243
2.03333333333333,-0.00676465424689386
2.06555555555556,-0.0061106809482763
2.09777777777778,-0.00540137634097082
2.13,-0.00465793124222629
2.16222222222222,-0.0039045016770235
2.19444444444444,-0.00316792351355895
2.22666666666667,-0.00247735747118141
2.25888888888889,-0.00186386825834232
2.29111111111111,-0.00135994329344676
2.32333333333333,-0.000998958195719632
2.35555555555556,-0.000814597971458205
2.38777777777778,-0.000840244522967771
2.42,-0.00110834272750278
2.45222222222222,-0.00164975882091145
2.48444444444444,-0.00249314612251797
2.51666666666667,-0.00366433420162414
2.54888888888889,-0.00518575835921889
2.58111111111111,-0.0070759467368553
2.61333333333333,-0.00934908242829579
2.64555555555556,-0.0120146576329585
2.67777777777778,-0.015077236137307
2.71,-0.0185363392432811
2.74222222222222,-0.0223864686962981
2.77444444444444,-0.0266172782315448
2.80666666666667,-0.0312139031001174
2.83888888888889,-0.036157454413442
2.87111111111111,-0.0414256824187651
2.90333333333333,-0.0469938099575042
2.93555555555556,-0.0528355344289523
2.96777777777778,-0.0589241936431658
3,-0.0652340880476942
